full_name,team,position,grp,points,qb,rush,recv,def,base,snap_pct,rot_w,years_exp
Kitan Oladapo,GB,DB,DB,0.07,0.0,0.0,0.0,0.03,0.04,0.07813888888888888,0.0,2
E.J. Jenkins,PHI,TE,TE,0.07,0.0,0.0,0.04,0.0,0.03,0.109375,0.0,3
Britain Covey,PHI,WR,WR,0.07,0.0,0.0,0.04,0.0,0.03,0.09163376978698456,0.0,4
Nick Niemann,GB,LB,LB,0.07,0.0,-0.12,0.0,0.18,0.02,0.04821153646643842,0.0,5
Maema Njongmeta,CAR,LB,LB,0.07,0.0,0.0,0.0,0.07,0.01,0.013051470588235295,0.0,2
Nick Bellore,WAS,LB,LB,0.07,0.0,0.0,0.0,0.07,0.0,0.009913613691090471,0.0,15
Jahan Dotson,ATL,WR,WR,0.06,0.0,0.01,-0.17,0.0,0.22,0.6297357392569432,0.6,4
Connor Colby,SF,OL,OL,0.06,0.0,0.0,-0.1,0.0,0.16,0.35,0.0,1
David Montgomery,HOU,RB,RB,0.06,-0.03,-0.19,0.17,0.0,0.11,0.44023308195072897,0.1,7
Nate Carter,ATL,RB,RB,0.06,0.0,-0.02,0.0,0.0,0.09,0.35,0.1,1
Kobee Minor,NE,DB,DB,0.06,0.0,0.0,0.0,0.0,0.06,0.12999999999999998,0.0,1
Keonta Jenkins,BUF,LB,LB,0.06,0.0,0.0,0.0,0.0,0.06,0.16,0.0,1
Trey Washington,IND,DB,DB,0.06,0.0,0.0,0.0,0.0,0.06,0.1275,0.0,1
Jaylin Smith,HOU,DB,DB,0.06,0.0,0.0,0.0,0.0,0.06,0.1125,0.0,1
Cam'Ron Silmon-Craig,JAX,DB,DB,0.06,0.0,0.0,0.0,0.0,0.06,0.11,0.0,1
Isaiah Foskey,CIN,DL,DL,0.06,0.0,0.0,0.0,0.02,0.04,0.07744042232277527,0.0,3
David Martin-Robinson,TEN,TE,TE,0.06,0.0,0.0,0.02,0.0,0.04,0.13341176470588234,0.0,2
Kahlef Hailassie,MIN,DB,DB,0.06,0.0,0.0,0.0,0.03,0.03,0.0691812865497076,0.0,3
Dareke Young,LV,WR,WR,0.06,0.0,0.0,0.04,0.0,0.02,0.06826688815060908,0.0,4
Dan Chisena,CAR,WR,WR,0.06,0.0,0.0,0.05,0.0,0.02,0.04935016835016835,0.0,6
Tycen Anderson,DEN,DB,DB,0.06,0.0,0.0,0.0,0.04,0.02,0.03288084464555052,0.0,4
Ke'Shawn Williams,CIN,WR,WR,0.06,0.0,0.05,0.0,0.0,0.01,0.035454545454545454,0.0,1
Trevor Etienne,CAR,RB,RB,0.06,0.0,0.08,-0.04,0.0,0.01,0.055000000000000014,0.1,1
Ian Thomas,LV,TE,TE,0.05,0.0,0.0,-0.07,0.0,0.11,0.3687082788671024,0.0,8
Bo Melton,GB,DB,DB,0.05,0.0,0.03,-0.08,0.0,0.1,0.19876068376068376,0.0,4
Sincere McCormick,SF,RB,RB,0.05,0.0,0.03,-0.04,0.0,0.06,0.25999999999999995,0.0,4
Elijah Williams,MIN,DL,DL,0.05,0.0,0.0,0.0,0.0,0.05,0.09714285714285716,0.0,1
Hayden Rucci,SF,TE,TE,0.05,0.0,0.0,0.0,0.0,0.05,0.17,0.0,2
CJ Dippre,NE,TE,TE,0.05,0.0,0.0,0.0,0.0,0.05,0.16,0.0,1
Andrew Farmer,SF,LB,LB,0.05,0.0,0.0,0.0,0.0,0.05,0.11750000000000001,0.0,3
Sanoussi Kane,TEN,DB,DB,0.05,0.0,0.0,0.0,0.0,0.05,0.09196895424836601,0.0,2
Tyreke Smith,KC,LB,LB,0.05,0.0,0.0,0.0,0.0,0.05,0.11333333333333336,0.0,4
Ko Kieft,TB,TE,TE,0.05,0.0,0.0,0.01,0.0,0.04,0.13957364341085274,0.0,4
Cam Grandy,CIN,TE,TE,0.05,0.0,0.0,0.02,0.0,0.03,0.10765624999999998,0.0,2
Brandon Codrington,HOU,DB,DB,0.05,0.0,0.0,0.0,0.02,0.03,0.056194852941176474,0.0,2
Chaz Chambliss,MIN,LB,LB,0.05,0.0,0.0,0.0,0.04,0.01,0.03583333333333333,0.0,1
Charlie Jones,CIN,WR,WR,0.05,0.0,0.02,0.02,0.0,0.01,0.0394971694971695,0.0,3
Xavier Legette,CAR,WR,WR,0.04,0.0,-0.08,-0.12,0.0,0.24,0.6750781250000001,0.3,2
Charlie Woerner,ATL,TE,TE,0.04,0.0,0.0,-0.09,0.0,0.12,0.40762679738562096,0.0,6
Harrison Bryant,SEA,TE,TE,0.04,0.0,0.02,-0.06,0.0,0.08,0.27444458809164685,0.0,6
Robbie Ouzts,SEA,RB,RB,0.04,0.0,0.0,-0.03,0.0,0.07,0.2676923076923077,0.1,1
Jerrick Reed II,TEN,DB,DB,0.04,0.0,0.0,0.0,0.0,0.04,0.08802564102564103,0.0,3
Bradyn Swinson,NE,LB,LB,0.04,0.0,0.0,0.0,0.0,0.04,0.11,0.0,1
Jose Ramirez,PHI,LB,LB,0.04,0.0,0.0,0.0,0.0,0.04,0.10750000000000001,0.0,3
Ricky White III,SEA,WR,WR,0.04,0.0,0.0,0.0,0.0,0.04,0.12000000000000001,0.0,1
Ennis Rakestraw Jr.,DET,DB,DB,0.04,0.0,0.0,0.0,0.0,0.04,0.08249999999999999,0.0,2
Jared Ivey,SEA,LB,LB,0.04,0.0,0.0,0.0,0.0,0.04,0.1,0.0,1
Kendall Williamson,LAC,DB,DB,0.04,0.0,0.0,0.0,0.0,0.04,0.07503676470588234,0.0,3
Andre Carter II,WAS,LB,LB,0.04,0.0,0.0,0.0,0.01,0.03,0.08153508771929825,0.0,3
Tyler Batty,MIN,LB,LB,0.04,0.0,0.0,0.0,0.02,0.02,0.05333333333333334,0.0,1
Brennan Jackson,LV,LB,LB,0.04,0.0,0.0,0.0,0.02,0.02,0.04125,0.0,2
Kene Nwangwu,NYJ,RB,RB,0.04,0.0,-0.18,-0.01,0.23,0.01,0.027274971941638606,0.0,5
Xavier Weaver,ARI,WR,WR,0.03,0.0,0.0,-0.12,0.0,0.15,0.43624999999999997,0.0,2
Drew Sample,CIN,TE,TE,0.03,0.0,-0.15,0.04,0.0,0.15,0.4986013071895425,0.0,7
Skyy Moore,GB,WR,WR,0.03,0.0,0.08,-0.13,0.0,0.08,0.21946144430844547,0.0,4
Tanner Conner,NYG,TE,TE,0.03,0.0,0.0,-0.02,0.0,0.06,0.19323494335122246,0.0,4
Emanuel Wilson,SEA,RB,RB,0.03,0.0,-0.09,0.05,0.0,0.06,0.24413105413105413,0.0,3
Isaiah Davis,NYJ,RB,RB,0.03,0.0,-0.19,0.17,0.0,0.05,0.2125,0.1,2
Nick Jackson,TB,LB,LB,0.03,0.0,0.0,0.0,0.0,0.03,0.08333333333333333,0.0,1
Yasir Abdullah,JAX,LB,LB,0.03,0.0,0.0,0.0,0.0,0.03,0.08035098235098234,0.0,3
Cameron Latu,PHI,TE,TE,0.03,0.0,0.0,0.0,0.0,0.03,0.10437500000000001,0.0,3
Daniel Scott,IND,DB,DB,0.03,0.0,0.0,0.0,0.0,0.03,0.0625,0.0,3
Loren Strickland,DET,DB,DB,0.03,0.0,0.0,0.0,0.0,0.03,0.0625,0.0,2
Cameron McGrone,LV,LB,LB,0.03,0.0,0.0,0.0,0.0,0.03,0.07560077519379846,0.0,5
Ruben Hyppolite II,CHI,LB,LB,0.03,0.0,0.0,0.0,0.0,0.03,0.07,0.0,1
Jaheim Bell,PIT,TE,TE,0.03,0.0,0.0,-0.0,0.0,0.03,0.08600000000000001,0.0,2
Dwight McGlothern,MIN,DB,DB,0.03,0.0,0.0,0.0,0.0,0.02,0.048124999999999994,0.0,2
Nathaniel Watson,CLE,LB,LB,0.03,0.0,0.0,0.0,0.0,0.02,0.05857142857142856,0.0,2
Velus Jones Jr.,SEA,RB,RB,0.03,0.0,-0.02,0.04,0.0,0.02,0.06678294573643412,0.0,4
Jeffrey Bassa,KC,LB,LB,0.03,0.0,0.0,0.0,0.01,0.02,0.04411764705882353,0.0,1
D'Shawn Jamison,PIT,DB,DB,0.03,0.0,0.0,0.0,0.01,0.02,0.033012345679012345,0.0,3
Benton Whitley,CLE,LB,LB,0.03,0.0,0.0,0.0,0.02,0.01,0.02789473684210526,0.0,4
Amar Johnson,LAC,RB,RB,0.03,0.0,0.03,-0.01,0.0,0.01,0.04,0.0,1
Robert Rochell,CAR,DB,DB,0.03,0.0,0.0,0.0,0.02,0.01,0.017008912655971476,0.0,5
David Njoku,LAC,TE,TE,0.02,0.0,-0.07,-0.13,0.0,0.21,0.7135660102424808,0.15,9
Nick Kallerup,SEA,TE,TE,0.02,0.0,0.0,-0.04,0.0,0.06,0.2118181818181818,0.0,1
Sean McKeon,IND,TE,TE,0.02,0.0,0.0,-0.02,0.0,0.04,0.13445117845117846,0.0,6
Tejhaun Palmer,ARI,WR,WR,0.02,0.0,0.0,0.0,0.0,0.02,0.07,0.0,2
Daniel Hardy,CHI,DL,DL,0.02,0.0,0.0,0.0,-0.0,0.03,0.04692007797270956,0.0,4
Kamal Hadden,GB,DB,DB,0.02,0.0,0.0,0.0,0.0,0.02,0.04874999999999999,0.0,2
Stephen Carlson,CHI,TE,TE,0.02,0.0,0.0,0.0,0.0,0.02,0.07777777777777777,0.0,7
Dalevon Campbell,LAC,WR,WR,0.02,0.0,0.0,0.0,0.0,0.02,0.065,0.0,1
Jacardia Wright,SEA,RB,RB,0.02,0.0,0.0,0.0,0.0,0.02,0.09,0.0,1
Swayze Bozeman,CIN,LB,LB,0.02,0.0,0.0,0.0,0.0,0.02,0.05666666666666666,0.0,2
